name,age,grade
Anne Torres,25,C
Brian Hart,20,D
Troy Wade,25,B
William Cobb,19,C
Carl Smith,25,A
Jessica Moss,23,A
Jim Guzman,24,C
James Sullivan,23,B
Donna Bell,18,C
Jeremy Nicholson,20,D
Eric Pruitt,23,A
Catherine Martin,25,B
Elizabeth Morris,25,A
Benjamin Brooks,24,B
Amanda Mayer,24,D
Jessica Giles,24,D
Paul Buchanan,21,B
Susan Lee,19,A
Daniel Torres,25,C
Jamie Coleman,19,D
Brian Beard,23,B
Christopher Riley,24,A
Teresa Henderson,23,C
Edward Silva,18,A
Charles Castillo,20,A
Courtney Hernandez,22,B
Shannon Mccullough,25,C
Monique Williams,18,A
Anna Marks PhD,19,B
Mary Williams,22,D
Ashley Sullivan,25,B
Andrew Smith,21,B
Eileen Colon,24,D
Shane Thompson,22,B
Cameron Liu,24,B
Rodney Byrd,19,A
Charles Oconnor,18,B
Derrick Meyer,24,B
Shaun Phillips,19,D
Michelle Johnson,25,D
Michael Ellison,20,D
Stephanie Gibbs,18,C
Ricky Garcia Jr.,18,C
Charles Hall,25,D
Antonio Price,25,A
Emily Ortiz,22,C
Courtney Miller,19,A
Jennifer Wagner,20,D
Brenda Reed,21,C
Susan Hamilton,21,D
Brenda Johnson,23,D
William Elliott,23,A
Jacob Harris,22,D
Pamela Martin,25,A
Albert Jordan,25,B
Heather Bates,24,A
Denise Frye,21,C
Michael Meyer,20,D
Robert White,25,A
Amanda Porter,22,C
Gabriella Cunningham,19,C
Megan Johnson,24,A
Beth Hooper,20,C
Jennifer Lawrence,25,C
Jill Hamilton,23,B
Christopher Jenkins,25,B
Nicole Harvey,20,B
Amanda Reeves,23,B
Elizabeth Baker,20,A
Emily Wolf,21,D
Stephanie Barnett,18,A
Tyler Mason,21,A
Michelle Steele,24,B
Frank Mclaughlin,19,A
Jason Miller,20,D
Rachel Lucas,23,D
Michelle Macias,21,C
Christine Monroe,23,B
Peggy Schmitt,23,D
Shawn David,19,B
Tammy Ray,23,A
Brandi Rich,23,D
James Garza,18,A
Jessica Moore,23,D
Lori Dunn,19,C
Chad Schneider,19,A
Matthew White,18,B
Angel Butler,24,B
Brandon Mooney,25,B
Anne Paul,18,C
Patrick Coleman,25,D
Patricia Cox,21,B
Michael Franco,24,A
Rachel Thomas,20,C
Victoria Lopez,21,D
Ronald Morse,25,D
Amanda Woods,19,B
Diana Deleon,24,D
Joel Bowers,24,D
Henry Thornton,21,D
John Johnson,22,A
Alyssa Wilson,22,C
Jeffrey Garcia MD,18,D
Rebecca Butler,19,C
Donald Garza,20,B
Chad Hicks,25,C
Bradley Black,24,D
Lindsay Warren,22,D
Suzanne Fisher,19,A
Donald Ramirez,18,D
Monique Santiago,20,D
Julie Parker,19,C
Alan Rowland,25,A
Katherine Blevins,21,A
Charles Douglas,25,D
Mark Williams,22,C
Matthew Hoover,22,D
Taylor Ryan,21,B
Crystal Roy,19,A
Lauren Fisher,18,D
Michael Lopez,22,A
Kimberly Haynes,25,B
Laura Kelly,20,D
Jamie Anderson,19,A
Timothy Gomez,20,B
Marc Fernandez,22,B
Melissa Rivera,24,D
Victoria Cruz,24,B
Chad Serrano,20,D
Rachel Strong,18,A
Richard Gibson,21,B
Madison Reynolds,18,B
Kimberly Allen,18,C
Lisa Wagner,18,C
Mark Elliott,22,A
Bethany Hodge,21,D
Deborah Shepherd,23,C
Melissa Wise,24,C
Jason Richardson,22,C
Jose Jackson,21,D
Jay Jenkins,19,B
Ashley Carroll,19,B
Misty Ballard,23,C
Mary Boone,19,C
Dana Sanchez,19,C
Steve Beard,18,B
Kristen Allen,21,C
Cody Fleming,22,D
Theresa Harris,22,B
Howard Melton,20,C
Jim Walker,18,C
Mark Evans,18,A
Christina Mendez,23,D
Dennis Martinez,19,D
Angela Todd,21,B
Jennifer Moreno,21,D
Aaron Murillo,19,A
Jonathan Bender,21,C
Nicholas Miller MD,20,D
Martin Vasquez,20,B
Kenneth Owens,21,D
Valerie Johnson,23,A
Robert Evans,25,A
Charles Herman,18,D
Nicole Rice,20,B
Tracey Schultz,19,B
Cheyenne Sloan,24,D
Michelle Murphy,22,D
Paul Turner,23,B
William Warner,18,A
Tracy Alvarez,21,D
Rhonda Wyatt,22,A
Michael Silva,22,D
Jimmy Brown,25,B
David Brooks,20,C
Taylor Garza,24,C
John Thomas,25,D
Joseph Barr,20,C
Eric Schultz,20,C
Alicia Carter,19,C
Lauren Newton,18,A
Andrea Rodriguez,22,B
Victoria Sutton,21,C
Joe Watson,22,D
David Castro,22,B
Erin York,19,A
Gabriel Hampton,20,B
John Allison,19,B
Karen Nichols,23,A
Rebecca Vega,21,B
Teresa Anderson,22,C
Kimberly Martin,25,B
Sarah Johnson,22,D
Travis Jones,21,A
Bryce Williams,18,D
Olivia Brown,25,A
Michael Figueroa,23,A
Cathy Kim,25,B
Joshua Gomez,19,C
Laurie Garcia,19,A
Joseph Alvarez,18,A
Jacob Allen,19,D
Taylor Cooper,20,D
Matthew Moore,21,D
Kathy Perry,18,C
Isaiah Rogers,22,A
Philip Harris,19,B
Devin Jones,25,C
Latasha French,20,A
David Richardson,18,B
Andrew Johnson,19,D
Mitchell French,20,A
Donna Wilson,24,D
Debbie Moore,19,A
Michael Watson,19,B
Jeffrey Huber,23,B
Sheila Palmer,20,D
Anthony Wilson,19,B
Erica Brooks,18,D
Raymond Adams,25,C
Marilyn Petty,22,A
Andrea Smith,24,D
Angela Knight,21,B
Christopher Davis,25,D
Jonathan Jennings,24,D
Matthew Flores,18,A
Melanie Curry,23,A
Matthew Short,18,D
Samantha Little,25,B
Kathryn Alvarez,20,A
Eric Rivas,21,D
David Nichols,21,A
John Ray,21,A
Julie Hays,22,D
Beth Love,21,B
Dawn Schmitt,21,C
Thomas Smith,23,A
Melissa Young,25,C
Brooke Brown,18,D
Kimberly Anderson,21,A
Robert Brown,24,A
Jessica Howe,18,C
Jeffrey Gomez,25,B
William Ramirez,18,B
David Mills,20,C
Justin Martinez,24,B
Jill Andrews,21,C
Charles Lester,22,B
Michelle Adams,18,C
Christopher Bowen,21,C
William Hawkins,24,B
Aaron Gardner,25,C
Jason Tucker,19,C
Thomas Carter,20,A
Cynthia Campbell,23,B
Patrick Wright,20,D
James Love,23,B
Alexis Chapman,19,D
Kelly Jones,18,A
Christopher Allen,23,A
Felicia Goodwin,23,B
Kenneth Bullock,22,B
Judy Burgess,23,A
Ashley Kelley,23,D
Megan White,25,B
Mrs. Yolanda Snyder PhD,19,B
Alyssa Browning,18,A
Joseph Rojas,19,D
Kayla Gilbert,22,C
Alexis Ramirez,25,A
William Turner,18,B
Brandon Norman,22,A
Benjamin Sloan,22,B
Jeremy Franco,19,A
Devin Bernard,20,B
Jodi Adams,22,C
Larry Jackson,22,A
Donald Snow,24,B
Mark Peters,19,C
Natalie Williams,20,D
Emily Parker,20,A
Sara Bowen,18,A
Gwendolyn Turner,21,D
Michelle Sanchez DDS,19,C
Kathleen Sparks,18,C
Rachel Kim,20,C
Gina Rojas,24,A
Paula Kramer,24,C
Jesse Dickerson,19,C
Joshua Harper,20,C
Brenda Foster,24,D
Shannon Rose,22,C
Benjamin Lee,19,B
Austin Baldwin,25,D
Thomas Chang,18,C
Amanda Baker,22,C
Calvin Price,21,A
Stacy Hunter,19,B
Joshua Powell,20,D
Dominique Cochran,25,A
Ana Johnson,25,D
Charlene Berry,25,B
Anna Clark,19,C
David Snyder,19,C
Ronald Wallace,22,A
Cynthia Fox,19,B
Carla Lester,22,A
Joseph Ross,18,A
Jerome Cunningham,24,C
Glenda Wood,21,B
Ricky Williams,22,C
Kaitlyn Brown,18,A
Carl Benitez,22,C
Abigail Griffith MD,23,A
Desiree Ramirez,20,B
Andrew Blake,22,B
Timothy Castro,25,C
Brett Brown,25,C
Brianna Gross,20,A
Victor Thompson,19,D
Sarah Lloyd,20,D
Michael Ortiz,18,C
Casey Jenkins,22,D
Kelsey Villa,20,D
Adam Duncan,25,C
Lisa Sullivan,23,A
Scott Luna,18,A
Tracy Sosa,19,A
Willie Madden,22,A
Robert Fuller,25,D
Lisa Day,23,B
Roger Mitchell,23,A
Juan Wall,23,B
Barry Bailey,23,B
Philip Snyder,21,C
Jason Boyd,21,D
Daniel Taylor,21,D
Destiny Morris,25,B
Michael Goodman,21,D
Tiffany Barnes,25,A
Autumn Ellis,20,B
Michael Gross,20,A
Timothy Anderson,19,B
Christine Snyder,19,D
Maria Lopez,21,B
Leah Miller,22,B
Kristen Nielsen,18,A
Lisa Olsen,20,D
Dale Blackburn,21,A
Matthew Hall,20,B
Lisa Jones,23,B
Julie Williams,23,D
Michael George,23,B
Molly Williams,19,A
Adam Hartman,19,A
Aaron Reilly,21,C
Elizabeth Luna,21,D
Joseph Wheeler,24,B
Holly Ramos,21,C
Matthew Mitchell,23,D
Ashley Potts,22,C
Brittany Garcia,19,D
Lauren Swanson,24,D
James Morton,23,C
Jeffrey Mcdowell,25,D
Shelby Green,24,A
Patricia Bell,19,D
Cesar Jenkins,23,C
Michael Moran,22,A
Brian Thomas,25,D
Brian Stone,18,C
Kristine Perez,21,D
Anthony Higgins,23,B
Craig Kelley,25,A
Steven Pierce,21,B
Brandi Walton,23,C
Julie Fields,23,D
Jorge Winters,21,A
Aaron Holmes,24,D
Nathan Shea,23,B
Erin Larsen,24,B
Martin Sutton,19,C
Amanda Owen,22,D
Dr. David Snyder,21,B
Roy Estrada,22,B
Melinda Short,21,D
Cody Beasley,23,D
Matthew Lee,24,C
Dennis Giles,18,C
Matthew Wise,19,D
Ms. Janet Andrade,24,A
Brandy Cole,18,D
Stephen Hoover,21,D
Tina Clark,21,B
Emily Martinez MD,18,A
Mr. Nicholas Foster DVM,23,A
Debra Martinez,25,A
Thomas Jackson,22,A
Billy Contreras,18,A
Kimberly Armstrong,19,D
Jason Stein,22,A
Thomas Moore,21,D
Tina Frazier,18,C
Victor Palmer,22,C
Joseph Stone,22,D
Francisco Collins,21,A
Ashley Fischer,24,D
Bethany Brown,24,D
Mark Thomas,21,C
Kendra Gray DDS,20,A
Craig Mcknight,25,D
Brandon Taylor,24,B
Kevin Reynolds Jr.,20,B
Calvin Figueroa,18,B
Robert Sutton,20,C
Mrs. Lisa Murray,20,C
Candice Welch,24,C
Zachary Hart,19,D
Timothy Brown,21,A
Anthony Diaz MD,18,C
Peter Robinson,18,A
Elizabeth Robertson,24,A
Alice Phillips,23,C
Hannah Young,18,A
Sandra Sanders,20,A
Latasha Walker,24,D
Victoria Thompson,19,A
Michael Little,20,B
Tracy Haynes,22,D
Kim Floyd,25,A
Margaret Watson,19,D
James Anderson,23,A
Brianna Carr,18,A
Julia Fox,20,C
Charles Smith,23,D
Nancy Nunez,18,D
Tamara Beasley,22,B
Stephanie Gibson,24,D
Mr. Bruce Romero,24,A
Lori Ortega,22,A
Victoria Landry,23,C
Jill Williams,22,D
Amber Lee,20,D
Angela Moreno,20,C
Tiffany Davis,19,A
Heather Chang,20,C
Jennifer Simmons,18,A
Laura Vaughn,24,B
Lisa Robinson,23,D
Eric Donovan,24,D
Luis Barker,25,A
Breanna Williams,18,A
Crystal Haynes,23,D
Ann Acosta,25,D
Clinton Sanchez,21,B
Anthony Gilmore,21,A
Frank Lewis,21,C
Cameron Molina,23,B
Jane Cruz,20,B
Paul Jackson,19,A
Andrew Davis,24,C
Kristy Williams,24,A
Sherri Erickson,18,C
Heather Zimmerman,23,A
Kelly Thomas,18,C
Wendy Evans,18,C
Robert Lambert,25,B
Wendy Andrews,20,D
Jack Malone,19,B
William Foster,18,D
James Kirk,19,D
Alexander Neal,25,C
Shannon James,19,D
Reginald Murphy,25,C
Keith Curry,22,B
Meghan Scott,20,A
Seth Hawkins,24,B
Jean Thompson,25,B
David Jackson,23,D
Jack Lambert,21,A
Jorge Kirk,20,D
Cory Harper,19,D
April Higgins,21,C
Heather Mccoy,24,D
